frecuencia_Hz,amplitud_FFT_V
0.0,2.842170943040401e-17
40.0,0.03398302809065669
80.0,0.04486875626346424
120.0,0.030222267423044905
160.0,0.03631860517830032
200.0,0.05690942607631505
240.0,0.03052956512887394
280.0,0.010031239949440936
320.0,0.08989404205628468
360.0,0.10794933414399732
400.0,0.07749611448255331
440.0,0.06483626575294237
480.0,0.20346026273004053
520.0,0.19358165585249698
560.0,0.12485319166652578
600.0,0.11827259140131507
640.0,0.11809870788260891
680.0,0.12249831607054285
720.0,0.5358056260356244
760.0,0.3780402941807716
800.0,0.33156880249038734
840.0,0.37787762263964664
880.0,0.5861743190827987
920.0,0.29077732774049964
960.0,0.45048661582291777
1000.0,0.07535459344034387
1040.0,0.48098467564287484
1080.0,0.22237869305284438
1120.0,0.155837746785751
1160.0,0.1569022392694492
1200.0,0.12234063915133249
1240.0,0.2829510453174874
1280.0,0.4803283598931237
1320.0,0.4724300180587124
1360.0,0.24799830879396864
1400.0,0.193107225228171
1440.0,0.8268123754105523
1480.0,0.28817432665904874
1520.0,0.08574412150088798
1560.0,0.5001263586582809
1600.0,0.3557224827368857
1640.0,0.5348832990654654
1680.0,0.6123672419420318
1720.0,0.3705653207959937
1760.0,0.24575880269223616
1800.0,0.547098246886304
1840.0,0.3307543917891846
1880.0,0.31659711617600883
1920.0,0.3100114798616667
1960.0,0.5951224040899856
2000.0,0.18456475249794224
2040.0,0.4613112765620144
2080.0,0.8371063959506497
2120.0,0.535628388171962
2160.0,0.527268840982157
2200.0,0.3333121707864679
2240.0,0.10708261097666662
2280.0,0.32425488816461934
2320.0,0.4443030358128652
2360.0,0.1795819584913665
2400.0,0.5184717393380365
2440.0,0.2133476609297917
2480.0,0.6497886893573384
2520.0,0.12489679935491117
2560.0,0.34778211876197385
2600.0,0.5543615628985251
2640.0,0.4230520606478355
2680.0,0.08922822688441238
2720.0,0.33835914018424573
2760.0,0.6053650686664352
2800.0,0.08029384780414602
2840.0,0.28694901221830965
2880.0,0.38178819909827616
2920.0,0.1570039754423526
2960.0,0.14445645704922966
3000.0,0.33091366086335783
3040.0,0.13921282032637997
3080.0,0.2870408695661233
3120.0,0.2632148137711899
3160.0,0.10234864141080317
3200.0,0.030073068709461033
3240.0,0.36179734716728956
3280.0,0.15931026117666292
3320.0,0.373236323354973
3360.0,0.43465956835559283
3400.0,0.24243552046304107
3440.0,0.16727495181848537
3480.0,0.4455954833890758
3520.0,0.015359730521783846
3560.0,0.058727648476015824
3600.0,0.2210764554797578
3640.0,0.3263634749418382
3680.0,0.3186803016050151
3720.0,0.12719170614031303
3760.0,0.07414555157132162
3800.0,0.48896555242203565
3840.0,0.3123319046768194
3880.0,0.23586769885054423
3920.0,0.29395439821980374
3960.0,0.23647592056804284
4000.0,0.20150222081236926
4040.0,0.1340181177402686
4080.0,0.29167979905294344
4120.0,0.1358367350773092
4160.0,0.21892144037962238
4200.0,0.300809133942658
4240.0,0.12242017112112889
4280.0,0.20608118412705867
4320.0,0.2397683826579745
4360.0,0.08230695132003388
4400.0,0.25050890425104494
4440.0,0.17127667615999215
4480.0,0.2297804018767556
4520.0,0.17723888459134526
4560.0,0.4247116540864993
4600.0,0.16078366144539594
4640.0,0.321022471770078
4680.0,0.11381667197803476
4720.0,0.16868627795521696
4760.0,0.3008398957216909
4800.0,0.3396389024618272
4840.0,0.24629384656707817
4880.0,0.45011686599055895
