Configuracion,ENBW (Hz),u(ENBW) (Hz),m (V/ohm),u(m) (V/ohm),b (V),u(b) (V),kB (J/K),u(kB) (J/K),R2,chi2_reducido,z
1–3.3 kHz,2576.0,128.8,1.365634737037855e-07,1.34081617033121e-09,2.249218416251308e-05,0.0001198028042154668,1.363522912750587e-23,7.096228878692593e-25,0.9999923623962549,0.04605490136937628,0.24134068308924703
1–10 kHz,9997.0,499.85,5.259191571240818e-07,1.813411506138039e-09,1.921336872823864e-06,0.00011697275541956364,1.3530786528244526e-23,6.931145061176997e-25,0.9999982851924754,0.1638611840263122,0.3977747822647022
1–33 kHz,35543.0,1777.15,1.804270379816732e-06,1.4380102880238101e-08,0.0005364571108783484,0.0007233481807365459,1.3056334909300237e-23,6.753587360169133e-25,0.9999618182354586,35.358269025183816,1.1107505547703134
1–100 kHz,109961.0,5498.05,5.966484429067694e-06,9.485175540999058e-08,0.00023366524833536164,0.0009977687413534224,1.39557626479366e-23,7.46970944557908e-25,0.999004610586458,62.95347126840798,0.19983728821600405
100 Hz–100 kHz,110961.0,5548.05,5.172073535058624e-06,5.529615249897023e-07,0.0025444231205288613,0.0070552060226713766,1.1988589026039513e-23,1.4206597003612072e-24,0.9717644074277291,3232.0380176703434,1.2796174717268889
30 Hz–100 kHz,111039.0,5551.950000000001,5.136429875146218e-06,5.465677653860083e-07,0.0026326997156546116,0.00722213981399255,1.1897605516225905e-23,1.404482477612971e-24,0.975448475993509,3435.589427818702,1.359137272412537
