Configuracion,V_1M_medido (V),V_1M_predicho (V),Medido/Predicho
1–3.3 kHz,0.12763999999999998,0.13658596588794802,0.9345030374841943
1–10 kHz,0.3668,0.5259210784609546,0.6974430480584588
1–33 kHz,0.6493599999999999,1.8048068369276105,0.3597947363194997
1–100 kHz,0.96556,5.966718094316029,0.16182430353460214
100 Hz–100 kHz,0.9579200000000001,5.174617958179153,0.18511898032701787
30 Hz–100 kHz,0.9609200000000001,5.139062574861873,0.18698351810316838
