frecuencia_Hz,PSD_V2_Hz
0.0,5.9614381702138e-07
97.65625000000001,2.773078092110261e-06
195.31250000000003,5.990619208662604e-06
292.96875000000006,1.7238296256484646e-05
390.62500000000006,4.262747235828158e-05
488.28125000000006,4.366381550667883e-05
585.9375000000001,5.6345574444089976e-05
683.5937500000001,0.0004012432797999908
781.2500000000001,0.001086858954947623
878.9062500000001,0.0018357086072496318
976.5625000000001,0.0011377769014077454
1074.2187500000002,0.000634108352102405
1171.8750000000002,0.0006756792728854066
1269.5312500000002,0.0004178214318982227
1367.1875000000002,0.00017299626259990853
1464.8437500000002,0.0010039973448271362
1562.5000000000002,0.0012159095457351958
1660.1562500000002,0.000983525064567963
1757.8125000000002,0.0005042012827786681
1855.4687500000002,0.0005686415008135004
1953.1250000000002,0.001695314193674349
2050.7812500000005,0.0010277357645599539
2148.4375000000005,0.0008291103875505816
2246.0937500000005,0.0010558091436196958
2343.7500000000005,0.00115260216635092
2441.4062500000005,0.0005077992199506417
2539.0625000000005,5.701918436589459e-05
2636.7187500000005,0.0006347714960295301
2734.3750000000005,0.0008229303248188433
2832.0312500000005,0.00026127816227672986
2929.6875000000005,0.0013778171611263186
3027.3437500000005,0.002138059903817116
3125.0000000000005,0.003369600258006613
3222.6562500000005,0.001997054265481487
3320.3125000000005,0.002232915442505422
3417.9687500000005,0.0025523539574323737
3515.6250000000005,0.0014349614203673351
3613.2812500000005,0.0015592991978433
3710.9375000000005,0.0006427949234925111
3808.5937500000005,0.0016655220796592367
3906.2500000000005,0.002145877042330279
4003.9062500000005,0.00038206645566486996
4101.562500000001,0.00044004184819702906
4199.218750000001,0.0010772463804159258
4296.875000000001,0.0008439033645842633
4394.531250000001,0.00032156114170092947
4492.187500000001,0.00016733505078571475
4589.843750000001,0.00043364280483885103
4687.500000000001,0.0010012618687219052
4785.156250000001,0.0005623084742986007
4882.812500000001,0.000460457853783041
4980.468750000001,0.0008157268468528866
5078.125000000001,0.0016357957358917082
5175.781250000001,0.00127309568137084
5273.437500000001,0.0005412901139926891
5371.093750000001,0.0005242575957372342
5468.750000000001,0.0008096022584210668
5566.406250000001,0.0009130232292586263
5664.062500000001,0.000595887638771375
5761.718750000001,0.0010145448847956977
5859.375000000001,0.0013473840222824084
5957.031250000001,0.0015682736512224206
6054.687500000001,0.0009567850561841602
6152.343750000001,0.000969950418778255
6250.000000000001,0.00041647481369557637
6347.656250000001,0.00011787320449844171
6445.312500000001,0.0003447979775718824
6542.968750000001,0.0007700982049584198
6640.625000000001,0.0007801919830006887
6738.281250000001,0.00037843334368283785
6835.937500000001,0.0003691837933230001
6933.593750000001,0.0003149398351509221
7031.250000000001,0.00040905418188557545
7128.906250000001,0.00036488988608307846
7226.562500000001,0.0004155450203967628
7324.218750000001,0.0007322966078053784
7421.875000000001,0.0018957074054229788
7519.531250000001,0.0010921796075267732
7617.187500000001,0.0005394363959847582
7714.843750000001,0.0008692493046216992
7812.500000000001,0.0005654582117462623
7910.156250000001,0.0003832423568560424
8007.812500000001,0.00041893137093894356
8105.468750000001,0.00011572977004458165
8203.125000000002,0.0003481153977253983
8300.781250000002,0.0006161032879596922
8398.437500000002,0.0006886798775360024
8496.093750000002,0.0004292106590177116
8593.750000000002,0.0004981805511721074
8691.406250000002,0.00039352677546848814
8789.062500000002,0.0006420306863555865
8886.718750000002,0.0003778653334021713
8984.375000000002,0.00022301626886238673
9082.031250000002,0.0002277713144580762
9179.687500000002,0.0003757065798234629
9277.343750000002,0.000639670992318065
9375.000000000002,0.00030638338273833226
9472.656250000002,0.0002732313748015827
9570.312500000002,0.0001772761632462328
9667.968750000002,0.00021140191453062002
9765.625000000002,0.00037314874073147893
9863.281250000002,0.0003305598389180906
9960.937500000002,0.0004267910330269151
10058.593750000002,0.00026780164074189776
10156.250000000002,0.00037760244884714597
10253.906250000002,0.0004459128084729166
10351.562500000002,0.00024230547133756648
10449.218750000002,0.0004735476792318643
10546.875000000002,0.0005807518623593446
10644.531250000002,0.00022710794982069824
10742.187500000002,0.000250936212596227
10839.843750000002,0.0001970959411870388
10937.500000000002,0.00027563230449727407
11035.156250000002,0.00019118937785287597
11132.812500000002,0.00039677786412634395
11230.468750000002,0.0001722629923594415
11328.125000000002,0.00017019607672871828
11425.781250000002,0.0003168769795327331
11523.437500000002,0.000276106035483782
11621.093750000002,0.00024893314344452347
11718.750000000002,7.175785761772393e-05
11816.406250000002,0.00016261515612976676
11914.062500000002,0.00040064428245338373
12011.718750000002,0.0006080805188338386
12109.375000000002,0.0003552524124362797
12207.031250000002,0.00026427166702850595
12304.687500000002,0.0002762739104557341
12402.343750000002,5.5683682378414755e-05
12500.000000000002,8.195074049617123e-05
12597.656250000002,0.0002553659024088014
12695.312500000002,0.00018586865595945096
12792.968750000002,0.00014109963959309515
12890.625000000002,0.00022238555251593217
12988.281250000002,0.0002556618689996105
13085.937500000002,0.00014792322358189093
13183.593750000002,5.7189451113111456e-05
13281.250000000002,0.00012110334776466924
13378.906250000002,8.703709345409466e-05
13476.562500000002,0.0001499831742296505
13574.218750000002,0.00016963088219038646
13671.875000000002,0.00010988289981137557
13769.531250000002,7.765733871122879e-05
13867.187500000002,0.00015694490617080488
13964.843750000002,0.00023955270229598208
14062.500000000002,0.0001465237025076697
14160.156250000002,0.00016053580473746566
14257.812500000002,0.00021115379333152594
14355.468750000002,9.302033569575193e-05
14453.125000000002,0.00020190925950947468
14550.781250000002,0.0003715541980257267
14648.437500000002,0.00017943329216989708
14746.093750000002,7.90992340593423e-05
14843.750000000002,0.00011838372360819735
14941.406250000002,0.00015976539436228905
15039.062500000002,0.00012751044175965054
15136.718750000002,0.00011821376344133221
15234.375000000002,0.0002268559179895806
15332.031250000002,0.0002719287318663687
15429.687500000002,0.000159915056492083
15527.343750000002,0.00013411824829197305
15625.000000000002,9.08680223464731e-05
15722.656250000002,0.00018718670585582856
15820.312500000002,0.0003108798054713751
15917.968750000002,0.0003242270955208328
16015.625000000002,0.00010257136564023612
16113.281250000002,3.273314751119832e-05
16210.937500000002,3.576101456648365e-05
16308.593750000002,0.0001506989689840648
16406.250000000004,0.00017602767506872188
16503.906250000004,3.0154427769511148e-05
16601.562500000004,0.00013365359698655095
16699.218750000004,0.00010595464021809362
16796.875000000004,0.00017706413281536471
16894.531250000004,0.00010337034030959102
16992.187500000004,5.1424580727630556e-05
17089.843750000004,8.151014318403598e-05
17187.500000000004,0.00024214102942751657
17285.156250000004,0.00028944588158871283
17382.812500000004,0.00023801733307241956
17480.468750000004,0.00014135633164382824
17578.125000000004,3.695054228805479e-05
17675.781250000004,5.943783917373124e-05
17773.437500000004,0.00013881671362161858
17871.093750000004,0.0001877921157465691
17968.750000000004,0.00011463192226903085
18066.406250000004,2.183723889162519e-05
18164.062500000004,0.00015095377912298656
18261.718750000004,0.0001605629312809615
18359.375000000004,0.00012971126439658318
18457.031250000004,0.00019101227437472623
18554.687500000004,0.00020248242297371639
18652.343750000004,0.00020311344067330743
18750.000000000004,0.00021321672687996799
18847.656250000004,0.0001802863641570003
18945.312500000004,0.0002694637633019708
19042.968750000004,0.00010921088245053028
19140.625000000004,7.068730429193716e-05
19238.281250000004,0.0001226663940681653
19335.937500000004,3.343707244006331e-05
19433.593750000004,0.0001708061095207446
19531.250000000004,0.00023857820988684776
19628.906250000004,0.00015048887719878074
19726.562500000004,5.5001976773141046e-05
19824.218750000004,9.611731361194044e-05
19921.875000000004,8.762034566573149e-05
20019.531250000004,5.3134477499028886e-05
20117.187500000004,5.1266708832281615e-05
20214.843750000004,4.575914925902727e-05
20312.500000000004,4.6974009411845904e-05
20410.156250000004,5.9657452929664363e-05
20507.812500000004,3.175979033189175e-05
20605.468750000004,0.00011646697483140307
20703.125000000004,0.00014584983975192675
20800.781250000004,3.8298995530057355e-05
20898.437500000004,3.268641701779579e-05
20996.093750000004,2.939345444079224e-05
21093.750000000004,1.8239116434235476e-05
21191.406250000004,8.351123227383617e-05
21289.062500000004,5.591982992609665e-05
21386.718750000004,0.0001225259390661118
21484.375000000004,6.638935733878377e-05
21582.031250000004,4.188108404602084e-05
21679.687500000004,2.526165377961934e-05
21777.343750000004,1.6223303625650264e-05
21875.000000000004,6.460491832237152e-05
21972.656250000004,9.342070423171248e-05
22070.312500000004,9.059019818776241e-05
22167.968750000004,0.0001094899534931901
22265.625000000004,0.0001479340929110037
22363.281250000004,0.0001129654581357397
22460.937500000004,0.00010996351977392832
22558.593750000004,0.00013780138136764388
22656.250000000004,3.810406479674115e-05
22753.906250000004,8.796435605122796e-05
22851.562500000004,7.501595857109998e-05
22949.218750000004,0.00016419202542822934
23046.875000000004,0.0001482344354460386
23144.531250000004,8.46686119231262e-05
23242.187500000004,4.046212422526499e-05
23339.843750000004,2.5975388409237263e-05
23437.500000000004,2.75469432463753e-05
23535.156250000004,3.1332625785386696e-05
23632.812500000004,3.5174137773164824e-05
23730.468750000004,8.516414804206586e-05
23828.125000000004,7.120153099961944e-05
23925.781250000004,7.484868569565191e-05
24023.437500000004,5.592104193870005e-05
24121.093750000004,3.9158333450733104e-05
24218.750000000004,3.4944665057690494e-05
24316.406250000004,7.916883441183612e-05
24414.062500000004,8.528229698241608e-05
24511.718750000004,0.00011459988006234821
24609.375000000004,0.00014337440478291927
24707.031250000004,0.00013675880381520483
24804.687500000004,0.00014389353352666417
24902.343750000004,8.5795774751571e-05
25000.000000000004,1.8867624020739166e-05
25097.656250000004,2.2479885723107653e-05
25195.312500000004,3.153615704649325e-05
25292.968750000004,5.4834392572203203e-05
25390.625000000004,2.6342352699302804e-05
25488.281250000004,5.288108421213675e-05
25585.937500000004,0.00016993679373569426
25683.593750000004,8.64577106158464e-05
25781.250000000004,9.785251040388754e-05
25878.906250000004,9.793231079268295e-05
25976.562500000004,4.612589008338588e-05
26074.218750000004,2.1846743034104358e-05
26171.875000000004,9.114276277860763e-05
26269.531250000004,9.868036718246343e-05
26367.187500000004,3.896511185471576e-05
26464.843750000004,4.277311550649216e-05
26562.500000000004,5.386224214142464e-05
26660.156250000004,7.504392725033762e-05
26757.812500000004,0.00014747541074736805
26855.468750000004,0.00011716079266449345
26953.125000000004,4.5363080115403006e-05
27050.781250000004,9.450568372655892e-05
27148.437500000004,6.56245865413318e-05
27246.093750000004,8.614576979438122e-05
27343.750000000004,0.0001220300732994784
27441.406250000004,2.9808319183777817e-05
27539.062500000004,2.309201728975585e-05
27636.718750000004,1.5173918310470943e-05
27734.375000000004,2.1989153491936442e-05
27832.031250000004,0.0001069388673736076
27929.687500000004,8.033703438340496e-05
28027.343750000004,2.4177255340452476e-05
28125.000000000004,4.360019862252883e-05
28222.656250000004,5.507232463981909e-05
28320.312500000004,1.322112914071727e-05
28417.968750000004,1.6184807284949165e-05
28515.625000000004,3.3267390097703494e-05
28613.281250000004,2.731149954392072e-05
28710.937500000004,9.608644465347843e-05
28808.593750000004,0.00010753428480183177
28906.250000000004,2.104537555418023e-05
29003.906250000004,4.1420534597455686e-05
29101.562500000004,5.589529851917355e-05
29199.218750000004,2.6002835565404206e-05
29296.875000000004,5.4617039989514544e-05
29394.531250000004,3.840969073301729e-05
29492.187500000004,1.6119150983495613e-05
29589.843750000004,2.0106534371993568e-05
29687.500000000004,1.792567502737737e-05
29785.156250000004,2.4153922387060585e-05
29882.812500000004,4.1100069741037546e-05
29980.468750000004,5.251931700553082e-05
