R,ENBW (Hz),m (V/K),u(m) (V/K),b (V),u(b) (V),kB (J/K),u(kB) (J/K),R2,chi2_red,z
10 kOhm,9997.0,0.0019761058275487016,0.0008170017247301673,-0.1800164516772138,0.07987042057734133,1.3727075258332373e-22,5.719989342901952e-23,0.06892371987018575,187.41880360433822,2.1584701505874833
100 kOhm,9997.0,0.002725022772292702,0.0009929050433504219,-0.23274806920525792,0.10179245472168708,1.8929448086458592e-23,6.967050689626288e-24,0.03322247019075075,445.06755159927906,0.7353123028208347
